iter	Passed	Remaining
0	1	1062
1	2	1167
2	3	1124
3	4	1082
4	5	1086
5	6	1071
6	7	1076
7	8	1095
8	9	1091
9	10	1051
10	11	1025
11	12	1047
12	13	1021
13	14	1031
14	15	1033
15	16	1010
16	17	996
17	18	986
18	18	974
19	19	963
20	20	958
21	21	948
22	22	940
23	22	927
24	23	912
25	23	898
26	24	887
27	25	874
28	25	861
29	26	848
30	26	843
31	27	833
32	28	823
33	28	814
34	29	804
35	29	795
36	30	786
37	30	780
38	31	772
39	31	766
40	32	760
41	33	755
42	33	750
43	34	743
44	34	736
45	35	731
46	35	724
47	36	718
48	36	711
49	37	708
50	37	703
51	38	698
52	38	693
53	39	690
54	40	688
55	40	684
56	41	684
57	41	680
58	42	675
59	42	672
60	43	668
61	43	663
62	44	659
63	44	655
64	45	653
65	46	652
66	46	649
67	47	646
68	47	643
69	48	639
70	48	636
71	49	632
72	49	629
73	50	626
74	50	624
75	51	620
76	51	618
77	52	616
78	52	613
79	53	610
80	53	607
81	54	605
82	54	601
83	55	600
84	55	599
85	56	599
86	57	599
87	57	599
88	58	598
89	59	597
90	59	596
91	60	595
92	60	594
93	61	593
94	62	592
95	62	590
96	63	588
97	63	587
98	64	586
99	65	585
100	65	584
101	66	582
102	66	581
103	67	579
104	67	579
105	68	577
106	69	575
107	69	574
108	70	574
109	70	572
110	71	570
111	71	568
112	72	566
113	72	564
114	73	562
115	73	560
116	74	559
117	74	557
118	75	555
119	75	554
120	76	553
121	76	552
122	77	550
123	77	548
124	78	547
125	78	545
126	79	543
127	79	541
128	79	539
129	80	538
130	80	537
131	81	536
132	82	535
133	82	534
134	83	533
135	84	533
136	84	532
137	85	532
138	85	531
139	86	529
140	86	528
141	87	525
142	87	524
143	88	523
144	88	522
145	89	521
146	89	519
147	90	518
148	90	517
149	91	516
150	91	515
151	92	514
152	92	513
153	93	511
154	93	510
155	94	509
156	94	508
157	95	507
158	95	507
159	96	506
160	96	504
161	97	502
162	97	501
163	98	500
164	98	499
165	99	498
166	99	497
167	100	496
168	100	495
169	101	494
170	102	495
171	102	493
172	103	492
173	103	492
174	104	491
175	104	490
176	105	489
177	105	487
178	106	486
179	106	485
180	107	484
181	107	483
182	108	482
183	108	481
184	109	481
185	109	480
186	110	479
187	110	478
188	111	477
189	111	476
190	112	476
191	112	475
192	113	475
193	114	474
194	114	473
195	115	472
196	115	471
197	116	470
198	116	469
199	117	468
200	117	467
201	117	466
202	118	465
203	118	464
204	119	463
205	120	463
206	120	462
207	121	461
208	121	461
209	122	460
210	122	459
211	123	458
212	123	457
213	124	457
214	125	456
215	125	456
216	126	455
217	126	454
218	127	453
219	127	453
220	128	452
221	128	451
222	129	451
223	130	450
224	130	449
225	131	449
226	131	448
227	132	447
228	132	447
229	133	446
230	133	445
231	134	445
232	134	444
233	135	443
234	135	442
235	136	442
236	137	441
237	137	441
238	138	440
239	138	440
240	139	439
241	140	438
242	140	437
243	141	437
244	141	436
245	142	435
246	142	434
247	143	434
248	143	433
249	144	432
250	145	432
251	145	432
252	146	431
253	146	430
254	147	429
255	147	429
256	148	428
257	148	428
258	149	427
259	149	426
260	150	426
261	151	426
262	151	425
263	152	425
264	153	424
265	153	423
266	154	423
267	154	422
268	155	421
269	155	420
270	156	420
271	156	419
272	157	419
273	158	418
